time,rocket.accel_setpoint.p,rocket.accel_setpoint.y
2026-03-20T03:20:48.436829,0.0,0.0
2026-03-20T03:20:48.439932,0.0,0.0
2026-03-20T03:20:48.448265,0.0,0.0
2026-03-20T03:20:48.456598,0.0,0.0
2026-03-20T03:20:48.464931,0.0,0.0
2026-03-20T03:20:48.473264,0.0,0.0
2026-03-20T03:20:48.481597,0.0,0.0
2026-03-20T03:20:48.489930,0.0,0.0
2026-03-20T03:20:48.498263,0.0,0.0
2026-03-20T03:20:48.506596,0.0,0.0
2026-03-20T03:20:48.514929,0.0,0.0
2026-03-20T03:20:48.523262,0.0,0.0
2026-03-20T03:20:48.531595,0.0,0.0
2026-03-20T03:20:48.539928,0.0,0.0
2026-03-20T03:20:48.548261,0.0,0.0
2026-03-20T03:20:48.556594,0.0,0.0
2026-03-20T03:20:48.564927,0.0,0.0
2026-03-20T03:20:48.573260,0.0,0.0
2026-03-20T03:20:48.581593,0.0,0.0
2026-03-20T03:20:48.589926,0.0,0.0
2026-03-20T03:20:48.598259,0.0,0.0
2026-03-20T03:20:48.606592,0.0,0.0
2026-03-20T03:20:48.614925,0.0,0.0
2026-03-20T03:20:48.623258,0.0,0.0
2026-03-20T03:20:48.631591,0.0,0.0
2026-03-20T03:20:48.639924,0.0,0.0
2026-03-20T03:20:48.648257,0.0,0.0
2026-03-20T03:20:48.656590,0.0,0.0
2026-03-20T03:20:48.664923,0.0,0.0
2026-03-20T03:20:48.673256,0.0,0.0
2026-03-20T03:20:48.681589,0.0,0.0
2026-03-20T03:20:48.689922,0.0,0.0
2026-03-20T03:20:48.698255,0.0,0.0
2026-03-20T03:20:48.706588,0.0,0.0
2026-03-20T03:20:48.714921,0.0,0.0
2026-03-20T03:20:48.723254,0.0,0.0
2026-03-20T03:20:48.731587,0.0,0.0
2026-03-20T03:20:48.739920,0.0,0.0
2026-03-20T03:20:48.748253,0.0,0.0
2026-03-20T03:20:48.756586,0.0,0.0
2026-03-20T03:20:48.764919,0.0,0.0
2026-03-20T03:20:48.773252,0.0,0.0
2026-03-20T03:20:48.781585,0.0,0.0
2026-03-20T03:20:48.789918,0.0,0.0
2026-03-20T03:20:48.798251,0.0,0.0
2026-03-20T03:20:48.806584,0.0,0.0
2026-03-20T03:20:48.814917,0.0,0.0
2026-03-20T03:20:48.823250,0.0,0.0
2026-03-20T03:20:48.831583,0.0,0.0
2026-03-20T03:20:48.839916,0.0,0.0
2026-03-20T03:20:48.848249,0.0,0.0
2026-03-20T03:20:48.856582,0.0,0.0
2026-03-20T03:20:48.864915,0.0,0.0
2026-03-20T03:20:48.873248,0.0,0.0
2026-03-20T03:20:48.881581,0.0,0.0
2026-03-20T03:20:48.889914,0.0,0.0
2026-03-20T03:20:48.898247,0.0,0.0
2026-03-20T03:20:48.906580,0.0,0.0
2026-03-20T03:20:48.914913,0.0,0.0
2026-03-20T03:20:48.923246,0.0,0.0
2026-03-20T03:20:48.931579,0.0,0.0
2026-03-20T03:20:48.939912,0.0,0.0
2026-03-20T03:20:48.948245,0.0,0.0
2026-03-20T03:20:48.956578,0.0,0.0
2026-03-20T03:20:48.964911,0.0,0.0
2026-03-20T03:20:48.973244,0.0,0.0
2026-03-20T03:20:48.981577,0.0,0.0
2026-03-20T03:20:48.989910,0.0,0.0
2026-03-20T03:20:48.998243,0.0,0.0
2026-03-20T03:20:49.006576,0.0,0.0
2026-03-20T03:20:49.014909,0.0,0.0
2026-03-20T03:20:49.023242,0.0,0.0
2026-03-20T03:20:49.031575,0.0,0.0
2026-03-20T03:20:49.039908,0.0,0.0
2026-03-20T03:20:49.048241,0.0,0.0
2026-03-20T03:20:49.056574,0.0,0.0
2026-03-20T03:20:49.064907,0.0,0.0
2026-03-20T03:20:49.073240,0.0,0.0
2026-03-20T03:20:49.081573,0.0,0.0
2026-03-20T03:20:49.089906,0.0,0.0
2026-03-20T03:20:49.098239,0.0,0.0
2026-03-20T03:20:49.106572,0.0,0.0
2026-03-20T03:20:49.114905,0.0,0.0
2026-03-20T03:20:49.123238,0.0,0.0
2026-03-20T03:20:49.131571,0.0,0.0
2026-03-20T03:20:49.139904,0.0,0.0
2026-03-20T03:20:49.148237,0.0,0.0
2026-03-20T03:20:49.156570,0.0,0.0
2026-03-20T03:20:49.164903,0.0,0.0
2026-03-20T03:20:49.173236,0.0,0.0
2026-03-20T03:20:49.181569,0.0,0.0
2026-03-20T03:20:49.189902,0.0,0.0
2026-03-20T03:20:49.198235,0.0,0.0
2026-03-20T03:20:49.206568,0.0,0.0
2026-03-20T03:20:49.214901,0.0,0.0
2026-03-20T03:20:49.223234,0.0,0.0
2026-03-20T03:20:49.231567,0.0,0.0
2026-03-20T03:20:49.239900,0.0,0.0
2026-03-20T03:20:49.248233,0.0,0.0
2026-03-20T03:20:49.256566,0.0,0.0
2026-03-20T03:20:49.264899,0.0,0.0
